,SKS,IPK,dum_grade,lulus_4_tahun
144,111,2.990990990990991,4.0,0
145,103,2.1864077669902913,12.0,0
146,86,1.8662790697674418,11.0,0
147,122,3.2565573770491802,0.0,0
148,92,2.5380434782608696,6.0,0
149,108,2.7398148148148147,6.0,0
150,106,2.719811320754717,6.0,0
151,105,2.5942857142857148,4.0,0
152,102,2.8294117647058825,4.0,0
153,87,2.0816091954022986,9.0,0
154,93,2.424731182795699,5.0,0
155,99,2.5191919191919188,4.0,0
156,118,3.1771186440677965,1.0,0
157,103,2.4572815533980585,4.0,0
158,106,2.378301886792453,10.0,0
159,116,3.045689655172414,1.0,0
160,76,0.9460526315789475,19.0,0
161,116,2.6672413793103447,5.0,0
162,81,1.4172839506172838,16.0,0
163,71,1.1535211267605632,16.0,0
164,74,0.6662162162162162,21.0,0
165,95,2.2157894736842105,10.0,0
166,113,2.695575221238938,3.0,0
167,127,3.377165354330709,1.0,0
168,122,3.318032786885246,1.0,0
169,88,1.5965909090909092,16.0,0
170,98,2.0326530612244897,9.0,0
171,114,3.112280701754386,4.0,0
172,122,3.1860655737704917,1.0,0
173,103,2.703883495145631,4.0,0
174,67,0.9432835820895523,18.0,0
175,91,1.6824175824175824,12.0,0
176,91,1.8978021978021977,9.0,0
177,124,3.2169354838709676,0.0,0
178,86,2.6290697674418606,1.0,0
179,83,3.0650602409638554,1.0,0
180,82,3.521951219512195,0.0,0
181,83,2.744578313253012,3.0,0
182,97,1.9278350515463918,12.0,0
183,82,2.745121951219512,3.0,0
184,115,2.5434782608695654,6.0,0
185,83,2.7590361445783134,3.0,0
186,82,3.652439024390244,0.0,0
187,85,2.5364705882352943,4.0,0
188,82,2.9878048780487805,1.0,0
189,83,3.095180722891566,2.0,0
190,82,3.0158536585365856,1.0,0
191,71,1.888732394366197,9.0,0
192,82,3.3939024390243904,0.0,0
193,74,2.347297297297297,3.0,0
194,82,3.857317073170732,0.0,0
195,83,3.1710843373493973,1.0,0
196,83,3.255421686746988,0.0,0
197,79,2.8240506329113924,2.0,0
198,82,3.131707317073171,1.0,0
199,82,3.221951219512195,0.0,0
200,80,2.33625,7.0,0
201,83,2.485542168674699,4.0,0
202,82,3.4292682926829268,0.0,0
203,88,3.6147727272727277,0.0,0
204,76,2.475,5.0,0
205,82,2.909756097560976,3.0,0
206,77,1.9506493506493505,9.0,0
207,82,3.0304878048780486,0.0,0
208,82,2.6792682926829268,4.0,0
209,82,2.93780487804878,0.0,0
